v6	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(R10)
-1.968000000000002e+002	2.793333e+001	3.835556e+001	-1.821111e+001	2.321111e+001	-4.722222e+000	2.777778e-001	-2.126667e+001	-1.598889e+001	-2.098889e+001	2.724444e+001
-1.967000000000002e+002	2.792083e+001	3.833889e+001	-1.819861e+001	2.319861e+001	-4.722222e+000	2.777778e-001	-2.125417e+001	-1.597639e+001	-2.097639e+001	2.722778e+001
-1.966000000000002e+002	2.790833e+001	3.832222e+001	-1.818611e+001	2.318611e+001	-4.722222e+000	2.777778e-001	-2.124167e+001	-1.596389e+001	-2.096389e+001	2.721111e+001
-1.965000000000002e+002	2.789583e+001	3.830556e+001	-1.817361e+001	2.317361e+001	-4.722222e+000	2.777778e-001	-2.122917e+001	-1.595139e+001	-2.095139e+001	2.719444e+001
-1.964000000000002e+002	2.788333e+001	3.828889e+001	-1.816111e+001	2.316111e+001	-4.722222e+000	2.777778e-001	-2.121667e+001	-1.593889e+001	-2.093889e+001	2.717778e+001
-1.963000000000002e+002	2.787083e+001	3.827222e+001	-1.814861e+001	2.314861e+001	-4.722222e+000	2.777778e-001	-2.120417e+001	-1.592639e+001	-2.092639e+001	2.716111e+001
-1.962000000000002e+002	2.785833e+001	3.825555e+001	-1.813611e+001	2.313611e+001	-4.722222e+000	2.777778e-001	-2.119167e+001	-1.591389e+001	-2.091389e+001	2.714444e+001
-1.961000000000002e+002	2.784583e+001	3.823889e+001	-1.812361e+001	2.312361e+001	-4.722222e+000	2.777778e-001	-2.117917e+001	-1.590139e+001	-2.090139e+001	2.712778e+001
-1.960000000000002e+002	2.783333e+001	3.822222e+001	-1.811111e+001	2.311111e+001	-4.722222e+000	2.777778e-001	-2.116667e+001	-1.588889e+001	-2.088889e+001	2.711111e+001
-1.959000000000002e+002	2.782083e+001	3.820555e+001	-1.809861e+001	2.309861e+001	-4.722222e+000	2.777778e-001	-2.115417e+001	-1.587639e+001	-2.087639e+001	2.709444e+001
-1.958000000000002e+002	2.780833e+001	3.818889e+001	-1.808611e+001	2.308611e+001	-4.722222e+000	2.777778e-001	-2.114167e+001	-1.586389e+001	-2.086389e+001	2.707778e+001
-1.957000000000002e+002	2.779583e+001	3.817222e+001	-1.807361e+001	2.307361e+001	-4.722222e+000	2.777778e-001	-2.112917e+001	-1.585139e+001	-2.085139e+001	2.706111e+001
-1.956000000000003e+002	2.778333e+001	3.815556e+001	-1.806111e+001	2.306111e+001	-4.722222e+000	2.777778e-001	-2.111667e+001	-1.583889e+001	-2.083889e+001	2.704445e+001
-1.955000000000003e+002	2.777083e+001	3.813889e+001	-1.804861e+001	2.304861e+001	-4.722222e+000	2.777778e-001	-2.110417e+001	-1.582639e+001	-2.082639e+001	2.702778e+001
-1.954000000000003e+002	2.775833e+001	3.812222e+001	-1.803611e+001	2.303611e+001	-4.722222e+000	2.777778e-001	-2.109167e+001	-1.581389e+001	-2.081389e+001	2.701111e+001
-1.953000000000003e+002	2.774583e+001	3.810556e+001	-1.802361e+001	2.302361e+001	-4.722222e+000	2.777778e-001	-2.107917e+001	-1.580139e+001	-2.080139e+001	2.699444e+001
-1.952000000000003e+002	2.773333e+001	3.808889e+001	-1.801111e+001	2.301111e+001	-4.722222e+000	2.777778e-001	-2.106667e+001	-1.578889e+001	-2.078889e+001	2.697778e+001
